seasonal,state_fips,year,month,month_date,period,emp_H25,emp_L25,emp_M50,rr_H25,rr_L25,rr_M50,emp_H33,emp_L33,emp_M33,rr_H33,rr_L33,rr_M33,emp_priv,emp_rest,emp_2019_priv
S,1,2019,1,2019-01-01,0,374.4,440.1,861.8,0.387994134473353,0.499999994,0.423266328516385,597.3,666.6,412.4,0.387994134473353,0.499999994,0.399079681172592,1676.3,186.8,1682.9
S,1,2019,2,2019-02-01,0,374.59999999999997,439.8,863,0.387994134473353,0.499999994,0.423266328516385,597.9,666.7,412.8,0.387994134473353,0.499999994,0.399079681172592,1677.4,187.3,1682.9
S,1,2019,3,2019-03-01,0,374.3,439.40000000000003,864.6,0.387994134473353,0.499999994,0.423266328516385,598.7,666.1,413.5,0.387994134473353,0.499999994,0.399079681172592,1678.3,186.8,1682.9
S,1,2019,4,2019-04-01,0,375.2,439.90000000000003,865.3,0.387994134473353,0.499999994,0.423266328516385,599.9,666.6,413.9,0.387994134473353,0.499999994,0.399079681172592,1680.4,187.8,1682.9
S,1,2019,5,2019-05-01,0,375.5,439.2,867,0.387994134473353,0.499999994,0.423266328516385,600.6,666.1,415,0.387994134473353,0.499999994,0.399079681172592,1681.7,187,1682.9
S,1,2019,6,2019-06-01,0,376.1,438.3,867.6,0.387994134473353,0.499999994,0.423266328516385,601.5,665.3,415.2,0.387994134473353,0.499999994,0.399079681172592,1682,186.6,1682.9
S,1,2019,7,2019-07-01,0,376.8,438.4,869.8,0.387994134473353,0.499999994,0.423266328516385,603.1,666,415.9,0.387994134473353,0.499999994,0.399079681172592,1685,186.4,1682.9
S,1,2019,8,2019-08-01,0,376.3,438.3,870.3,0.387994134473353,0.499999994,0.423266328516385,602.8000000000001,665.8,416.3,0.387994134473353,0.499999994,0.399079681172592,1684.9,186.8,1682.9
S,1,2019,9,2019-09-01,0,376.4,438.2,868.5,0.387994134473353,0.499999994,0.423266328516385,602.3,664.6,416.20000000000005,0.387994134473353,0.499999994,0.399079681172592,1683.1,186.5,1682.9
S,1,2019,10,2019-10-01,0,376.2,440,869.6,0.387994134473353,0.499999994,0.423266328516385,602.1,666.4,417.3,0.387994134473353,0.499999994,0.399079681172592,1685.8,187.9,1682.9
S,1,2019,11,2019-11-01,0,377.3,439.7,872.5,0.387994134473353,0.499999994,0.423266328516385,603.9,667.6,418,0.387994134473353,0.499999994,0.399079681172592,1689.5,187.9,1682.9
